Time,Crack Length,Force,Temperature
42795.0,1.670317111580959,1700.0,473.0
42796.0,1.670371005861774,1700.0,473.0
42797.0,1.6704249007616876,1700.0,473.0
42798.0,1.6704787962807006,1700.0,473.0
42799.0,1.6705326924188124,1700.0,473.0
42800.0,1.6705865891760232,1700.0,473.0
42801.0,1.6706404865523332,1700.0,473.0
42802.0,1.6706943845477418,1700.0,473.0
42803.0,1.6707482831622493,1700.0,473.0
42804.0,1.6708021823958563,1700.0,473.0
42805.0,1.6708560822485619,1700.0,473.0
42806.0,1.6709099827203668,1700.0,473.0
42807.0,1.6709638838112704,1700.0,473.0
42808.0,1.6710177855212733,1700.0,473.0
42809.0,1.671071687850375,1700.0,473.0
42810.0,1.6711255907985756,1700.0,473.0
42811.0,1.6711794943658753,1700.0,473.0
42812.0,1.671233398552274,1700.0,473.0
42813.0,1.6712873033577718,1700.0,473.0
42814.0,1.6713412087823685,1700.0,473.0
42815.0,1.671395114826064,1700.0,473.0
42816.0,1.6714490214888587,1700.0,473.0
42817.0,1.6715029287707523,1700.0,473.0
42818.0,1.671556836671745,1700.0,473.0
42819.0,1.671610745191837,1700.0,473.0
42820.0,1.6716646543310272,1700.0,473.0
42821.0,1.6717185640893173,1700.0,473.0
42822.0,1.6717724744667057,1700.0,473.0
42823.0,1.6718263854631934,1700.0,473.0
42824.0,1.67188029707878,1700.0,473.0
42825.0,1.6719342093134655,1700.0,473.0
42826.0,1.6719881221672503,1700.0,473.0
42827.0,1.672042035640134,1700.0,473.0
42828.0,1.6720959497321166,1700.0,473.0
42829.0,1.6721498644431985,1700.0,473.0
42830.0,1.6722037797733789,1700.0,473.0
42831.0,1.6722576957226583,1700.0,473.0
42832.0,1.6723116122910369,1700.0,473.0
42833.0,1.6723655294785145,1700.0,473.0
42834.0,1.672419447285091,1700.0,473.0
42835.0,1.6724733657107667,1700.0,473.0
42836.0,1.6725272847555412,1700.0,473.0
42837.0,1.6725812044194144,1700.0,473.0
42838.0,1.6726351247023872,1700.0,473.0
42839.0,1.6726890456044583,1700.0,473.0
42840.0,1.672742967125629,1700.0,473.0
42841.0,1.6727968892658984,1700.0,473.0
42842.0,1.672850812025267,1700.0,473.0
42843.0,1.6729047354037345,1700.0,473.0
42844.0,1.6729586594013006,1700.0,473.0
42845.0,1.6730125840179666,1700.0,473.0
42846.0,1.673066509253731,1700.0,473.0
42847.0,1.6731204351085944,1700.0,473.0
42848.0,1.673174361582557,1700.0,473.0
42849.0,1.6732282886756185,1700.0,473.0
42850.0,1.673282216387779,1700.0,473.0
42851.0,1.673336144719038,1700.0,473.0
42852.0,1.6733900736693967,1700.0,473.0
42853.0,1.6734440032388542,1700.0,473.0
42854.0,1.6734979334274105,1700.0,473.0
42855.0,1.673551864235066,1700.0,473.0
42856.0,1.6736057956618207,1700.0,473.0
42857.0,1.673659727707674,1700.0,473.0
42858.0,1.6737136603726261,1700.0,473.0
42859.0,1.6737675936566776,1700.0,473.0
42860.0,1.673821527559828,1700.0,473.0
42861.0,1.6738754620820777,1700.0,473.0
42862.0,1.673929397223426,1700.0,473.0
42863.0,1.6739833329838731,1700.0,473.0
42864.0,1.6740372693634198,1700.0,473.0
42865.0,1.6740912063620648,1700.0,473.0
42866.0,1.6741451439798096,1700.0,473.0
42867.0,1.6741990822166526,1700.0,473.0
42868.0,1.6742530210725952,1700.0,473.0
42869.0,1.6743069605476364,1700.0,473.0
42870.0,1.6743609006417768,1700.0,473.0
42871.0,1.674414841355016,1700.0,473.0
42872.0,1.6744687826873543,1700.0,473.0
42873.0,1.6745227246387917,1700.0,473.0
42874.0,1.6745766672093279,1700.0,473.0
42875.0,1.6746306103989634,1700.0,473.0
42876.0,1.6746845542076976,1700.0,473.0
42877.0,1.6747384986355307,1700.0,473.0
42878.0,1.6747924436824633,1700.0,473.0
42879.0,1.6748463893484944,1700.0,473.0
42880.0,1.6749003356336245,1700.0,473.0
