# Temp, Stress Intensity
3.000000000000000000e+02,1.774133418557322511e+04
3.000000000000000000e+02,1.774024501058628084e+04
3.000000000000000000e+02,1.773915611624878511e+04
3.000000000000000000e+02,1.773806750253231075e+04
3.000000000000000000e+02,1.773697916940846699e+04
3.000000000000000000e+02,1.773589111684886302e+04
3.000000000000000000e+02,1.773480334482514081e+04
3.000000000000000000e+02,1.773371585330893868e+04
3.000000000000000000e+02,1.773262864227187310e+04
3.000000000000000000e+02,1.773154171168559333e+04
3.000000000000000000e+02,1.773045506152175585e+04
3.000000000000000000e+02,1.772936869175200263e+04
3.000000000000000000e+02,1.772828260234802656e+04
3.000000000000000000e+02,1.772719679328149141e+04
3.000000000000000000e+02,1.772611126452407188e+04
3.000000000000000000e+02,1.772502601604744268e+04
3.000000000000000000e+02,1.772394104782331851e+04
3.000000000000000000e+02,1.772285635982335225e+04
3.000000000000000000e+02,1.772177195201930954e+04
3.000000000000000000e+02,1.772068782438287963e+04
3.000000000000000000e+02,1.771960397688578450e+04
3.000000000000000000e+02,1.771852040949973525e+04
3.000000000000000000e+02,1.771743712219647205e+04
3.000000000000000000e+02,1.771635411494775326e+04
3.000000000000000000e+02,1.771527138772530452e+04
3.000000000000000000e+02,1.771418894050089148e+04
3.000000000000000000e+02,1.771310677324623612e+04
3.000000000000000000e+02,1.771202488593318776e+04
3.000000000000000000e+02,1.771094327853343202e+04
3.000000000000000000e+02,1.770986195101878911e+04
3.000000000000000000e+02,1.770878090336105015e+04
3.000000000000000000e+02,1.770770013553203535e+04
3.000000000000000000e+02,1.770661964750349944e+04
3.000000000000000000e+02,1.770553943924727355e+04
3.000000000000000000e+02,1.770445951073514516e+04
3.000000000000000000e+02,1.770337986193897450e+04
3.000000000000000000e+02,1.770230049283055996e+04
3.000000000000000000e+02,1.770122140338177269e+04
3.000000000000000000e+02,1.770014259356444018e+04
3.000000000000000000e+02,1.769906406335037536e+04
3.000000000000000000e+02,1.769798581271146759e+04
3.000000000000000000e+02,1.769690784161958800e+04
3.000000000000000000e+02,1.769583015004658955e+04
3.000000000000000000e+02,1.769475273796434703e+04
3.000000000000000000e+02,1.769367560534474615e+04
3.000000000000000000e+02,1.769259875215966167e+04
3.000000000000000000e+02,1.769152217838100842e+04
3.000000000000000000e+02,1.769044588398070846e+04
3.000000000000000000e+02,1.768936986893065841e+04
3.000000000000000000e+02,1.768829413320275853e+04
3.000000000000000000e+02,1.768721867676892725e+04
3.000000000000000000e+02,1.768614349960110121e+04
3.000000000000000000e+02,1.768506860167127161e+04
3.000000000000000000e+02,1.768399398295130959e+04
3.000000000000000000e+02,1.768291964341320272e+04
3.000000000000000000e+02,1.768184558302890218e+04
3.000000000000000000e+02,1.768077180177037371e+04
3.000000000000000000e+02,1.767969829960957213e+04
3.000000000000000000e+02,1.767862507651849955e+04
3.000000000000000000e+02,1.767755213246912899e+04
