# Temp, Stress Intensity
5.530000000000000000e+02,6.082050001486537803e+04
5.530000000000000000e+02,6.798179319517077238e+04
5.530000000000000000e+02,7.899204777441325132e+04
5.530000000000000000e+02,5.427289091434628790e+04
5.530000000000000000e+02,8.344101483176635520e+04
5.530000000000000000e+02,6.372685738428362674e+04
5.530000000000000000e+02,5.141434856825664610e+04
5.530000000000000000e+02,7.973871016293286812e+04
5.530000000000000000e+02,7.293280326434246672e+04
5.530000000000000000e+02,8.242380491095069738e+04
5.530000000000000000e+02,8.125453936866909498e+04
5.530000000000000000e+02,5.994031155186708202e+04
5.530000000000000000e+02,5.550473420098971110e+04
5.530000000000000000e+02,9.154245919514576963e+04
5.530000000000000000e+02,5.670194068191396218e+04
5.530000000000000000e+02,8.662814945414279646e+04
5.530000000000000000e+02,7.829312717951172090e+04
5.530000000000000000e+02,1.013695965356820961e+05
5.530000000000000000e+02,9.438925308864501130e+04
5.530000000000000000e+02,5.549870497954787425e+04
5.530000000000000000e+02,7.326459387449578207e+04
5.530000000000000000e+02,1.007371853667056275e+05
5.530000000000000000e+02,8.588125795485122944e+04
5.530000000000000000e+02,5.403870949051407661e+04
5.530000000000000000e+02,7.787155181357511901e+04
5.530000000000000000e+02,1.131927548236087896e+05
5.530000000000000000e+02,7.367193985141509620e+04
5.530000000000000000e+02,6.611375348652330285e+04
5.530000000000000000e+02,1.161641706741449307e+05
5.530000000000000000e+02,5.573153970527614729e+04
5.530000000000000000e+02,7.180080784567591036e+04
5.530000000000000000e+02,1.096126517245911818e+05
5.530000000000000000e+02,1.197857258257958456e+05
5.530000000000000000e+02,7.373128341507563891e+04
5.530000000000000000e+02,6.645044178548709897e+04
5.530000000000000000e+02,1.372988121204130875e+05
5.530000000000000000e+02,1.086740841203780437e+05
5.530000000000000000e+02,4.714945840622346441e+04
5.530000000000000000e+02,9.274231088090958656e+04
5.530000000000000000e+02,1.357844722508577397e+05
5.530000000000000000e+02,1.025042029221540433e+05
5.530000000000000000e+02,1.095112973617503012e+05
5.530000000000000000e+02,1.238236559547196230e+05
5.530000000000000000e+02,1.597336609288191539e+05
5.530000000000000000e+02,1.282149442334759515e+05
5.530000000000000000e+02,7.567722516472922871e+04
5.530000000000000000e+02,1.353325964459574898e+05
5.530000000000000000e+02,1.502510517268037656e+05
5.530000000000000000e+02,1.432129595465218881e+05
5.530000000000000000e+02,1.412990890650312067e+05
5.530000000000000000e+02,1.212055734792029834e+05
5.530000000000000000e+02,9.128034338180992927e+04
5.530000000000000000e+02,1.146065960414423607e+05
5.530000000000000000e+02,7.162273761585097236e+04
5.530000000000000000e+02,1.213174350187222881e+05
5.530000000000000000e+02,1.159032521803138807e+05
5.530000000000000000e+02,1.440676739101974235e+05
5.530000000000000000e+02,1.185175198823403771e+05
5.530000000000000000e+02,1.495561263475110754e+05
5.530000000000000000e+02,1.181147031969261880e+05
5.530000000000000000e+02,1.133982710651672096e+05
5.530000000000000000e+02,1.183119174899002101e+05
5.530000000000000000e+02,1.046205106162379670e+05
5.530000000000000000e+02,1.404165903824621055e+05
5.530000000000000000e+02,8.491299317837331910e+04
5.530000000000000000e+02,5.930701505695286323e+04
5.530000000000000000e+02,5.461936140176584740e+04
5.530000000000000000e+02,7.467514645916351583e+04
5.530000000000000000e+02,7.728915109769260744e+04
5.530000000000000000e+02,6.386277915500447125e+04
5.530000000000000000e+02,8.496425805849596509e+04
5.530000000000000000e+02,5.398195200043376826e+04
5.530000000000000000e+02,7.943545927450749150e+04
5.530000000000000000e+02,5.853803379571473488e+04
5.530000000000000000e+02,7.660254242201210582e+04
5.530000000000000000e+02,6.608119622704679205e+04
5.530000000000000000e+02,6.345651934273022925e+04
5.530000000000000000e+02,7.303041919199036784e+04
5.530000000000000000e+02,7.548301080949937750e+04
